sah, POS, translation
һа гын=,v.,to laugh
һай,exc.,Go! (used for driving cattle)
һат,exc.,Giddy-up!
һуу,exc.,Yikes!; Wow!; Whew!
ча,ono.,"Laugh!; (cf һа, са)"
ча гын=,v.,to laugh
чаакы,n.,cup
чаас,n.,hour [<Russ. час]
чаҕылҕан,n.,lightning [<Mong. čakilγan]
"чай, чэй",n.,tea [<Russ. чай]
чалк,exc.,Splash!
чемпион,n.,champion [<Russ.]
чиҥ,a.,dense;
чиҥ-чиҥ,a.,very dense
чочу,n.,whetstone;
чочуй=,v.,"to improve, perfect, sharpen"
чугас,a.,"near, close;"
чугас-чугас,a.,very close;
чугуус-чугас,,
чугуй=,v.,"to recede, back down;"
чугук,a.,"timid, shy, cautious, wary"
чуо,adv.,exactly
чуор,a.,"sharp, keen (of hearing)"
чуораан,n.,bell
чуумпу,a.,quiet;
чуумпур=,v.,"to hush, grow quiet"
чуучаах,n.,small bird
чучуна,n.,"yeti, abominable snowman"
чычаас,a.,shallow
чэбдик,a.,healthy;
чэбдигир=,v.,to become healthier
чэл,a.,healthy
чэпчээ=,v.,to become light;
чэпчэки,a.,light
чэр,n.,"scar, callous;"
чэрдий=,v.,"to become scarred, calloused"
чэрэниилэ,n.,ink [<Russ. чернила];
чэрэниилэ иһитэ,n.,inkstand
шарик,n.,balloon [<Russ.]
ыа,v.,to milk;
ыаҕас,n.,milking bucket
ыа=,v.,to milk
"ыаҕас, ыаҕайа",n.,bucket
ыал,n.,family
ыал,n.,neighbor [<Mong. ayil];
ыалчыт,n.,guest;
ыар,n.,difficulty;
ыарахан,a.,"difficult, heavy;"
ыараа=,v.,to become
ыас,n.,resin
ыбыс=,v.,"to close up, join tightly"
ый,n.,"moon, month;"
атырдьах ыйа,n.,August;
балаҕан ыйа,n.,
ый=,v.,to point at
ыйаа=,n.,to weigh;
ыйаһыын,n.,weighing; weight; scales
ыйаах,n.,decree
ыйынньык,n.,comp. link
ыйыт=,v.,to ask;
ыйытар,n.,question
ыйыһын=,v.,to swallow
ык=,v.,"to press, oppose, squeeze; urge, demand;"
ыкын,a.,tight-
ыксаа=,v.,to hurry
ыл=,v.,to take; =ан ыл= conv. to do something over a short
ылгын чыкыйа,n.,"little, pinky finger"
ыллаа=,v.,to sing
ылыс=,v.,to undertake
ымсыы,n.,envy;
ымсыыр=,v.,to envy
ынах,n.,cow;
быаһыт ынах,n.,cow able to slip leashes;
ынахтаа=,,
ынырык,a.,terrible
ыҥыыр,n.,saddle
ыр=,v.,to lose weight;
ырыган,a.,"thin, lean"
ыраас,a.,clean;
ырааһыр=,v.,to become clean
ыраах,a.,far;
ып-ыраах,a.,very far;
ыраахтааҕы,a.,found far
ыраахтаҕы,n.,czar
ырҕай=,v.,to become fat;
ырҕат=,v.,"to make fat, fatten"
ырыа,n.,song;
ыллаа=,v.,to sing;
ырыаһыт,n.,singer
ырыт=,n.,to analyze;
ырытыы,n.,analysis
ыс=,v.,"to scatter, sow, sprinkle, spatter;"
ыһыгын=,v.,"to drop, let"
ысса,exc.,Cold!
ыстан=,v.,to jump
ыстаныак,n.,(machine) bench [<Russ. станок]
ыт,n.,dog;
ыт тиҥилэҕэ,n.,cloudberry (Rubus chamaemorus)
ыт=,v.,"to shoot, fire"
ытаа=,v.,to cry
ытарҕа,n.,earring
ытыр=,v.,"to bite, pinch;"
ытырым,n.,"bit, nibble"
ытырт=,v.,to sneeze
ытыс,n.,palm (of hand);
ытыс,v.,to take a handful of something
ыһаар=,v.,"to fry, grill;"
ыһаары,n.,fried food
ыһыах,n.,summer solstice holiday
ыыр=,v.,to divide in two;
ыыраах,n.,division of a hoof
ыыс,n.,smoke;
ыыс-быдаан,n.,"dense darkness, heavy mist"
ыыт=,v.,"to send, dispatch"
э,int.,"Huh?, interrogative particle"
эбил=,v.,to be added
эбиэс,n.,sheep [<Russ. овца]
эбиэт,n.,"dinner, supper [<Russ. обед];"
эбиэттээ=,v.,"to dine, have"
эбэтэр,conj.,"or (cf биэтэр, биитэр)"
эбэ,n.,grandmother
эбэҥки,n.,"Evenki, Tungus"
эҕэ,n.,"capticiousness, faultfinding, nagging"
эгэ,adv.,all the more
эдьиий,n.,sister (elder)
эдэр,a.,young
эдьиий,n.,aunt
эйэ,n.,"peace, harmony;"
эйэҕэс,a.,peaceful;
эйэлээ=,v.,to make
эккирээ=,v.,to jump up;
эккирэт=,v.,"to chase, make jump up"
элбэх,a.,"multiple, a lot, many;"
элбээ=,v.,"to multiply, increase"
элиэ,n.,"kite (bird), hawk, vulture"
эльий=,v.,to cut thin
элэй=,v.,"to wear out, become worn out;"
элэт=,v.,to wear out
элээ=,v.,to go around in a flighty manner
эм=,v.,to suck
эмис,a.,fat
эмиэ,adv.,"too, also"
эмискэ,adv.,at once
эмп,n.,medicine;
эмтээ=,v.,"to treat medically, to doctor;"
эмчит,n.,
эмтиэкэ,n.,pharmacy [<Russ. аптека]
эмэ,det.,"some, any (used only with pronouns)"
эмээхсин (pl. эмээхситтэр),n.,old woman
эн,pro.,you (singular);
эй̃иэнэ,pro.,yours
эндэй=,v.,to make mistakes;
эндиэ,a.,wrong
эҥэр,n.,skirts
эп=,v.,to add;
эбии,n.,addition;
эбиилик,n.,"bonus, addition"
эр,n.,"man, male;"
эрдээх,a.,masculine;
эр санаа,n.,courage
эрбии,n.,saw (tool);
эрбээ=,v.,to saw
эрбэх,n.,"thumb, big finger; big toe"
эргий=,v.,"to turn around, whirl, spin;"
эргит=,v.,to make turn
эргимтэ,n.,"circle, sphere of action"
эргин,n.,"environs, neighborhood"
эргиэн,n.,"trade, commerce"
эргэ,a.,"old, ancient (of things)"
эрдии,n.,oar
эрдэ,adv.,early
эрий=,v.,"to twist, turn;"
эрилин=,v.,"to twist, turn, be twisted"
эрис=,v.,"to wrestle, struggle with"
эриэн,n.,"motley, spotted"
эриэппэ,n.,turnip [<Russ. репа]
эрт=,v.,to row
эртэбэс,n.,boot
эрчий=,v.,"to exercise, train, develop"
эрэ,"det., a.","just, only, but; some, any (with pronouns)"
эрэгэр,adv.,always
эрэй,n.,"suffering, misery, trouble, hardship;"
эрэй-буруй,n.,
эрэкэрдииһи,n.,record-breaker [<Russ. рекордист]
эрэл,a.,"reliable, safe, trustworthy"
эрэн=,v.,"to hope, rely upon;"
эрэннэр=,v.,to promise
эрэсиинэ,n.,resin [<Russ. ресин]
эрэт,n.,"fine fellow, good lad"
эс=,v.,to destroy; explode
эс=,v.,"to shoot, pull a trigger;"
эһилин=,v.,to be done away with
эт,n.,"flesh, meat;"
этимсэк,a.,"meat-loving, carnivorous;"
этчит,n.,
эт=,v.,to say;
этин,n.,"sentence, proposition"
этигэн,a.,"sonorous, resonant"
этиҥ,n.,thunder;
этиҥнээх самыыр,n.,thunderstorm
этис=,v.,"to argue, quarrel;"
этиһиик,a.,"quarrelsome, argumentative"
эттик,n.,body (in physics)
этэрбэс,n.,"boot, soft-soled shoe"
эчэт=,v.,"to chop up, cut up"
эһиги,pro.,you (plural);
эһиэнэ,pro.,yours
эһэ,n.,grandfather
эһэ,n.,bear;
эһэлээ=,v.,to hunt bears
эһээ,int.,"huh?, what?"
ээ,exc.,"yes, oh!"
юрист (pl. юристар),n.,"lawyer, jurist [<Russ.]"
